n,algo_a,algo_b,abs_max,rel_max,rel_mean,rel_q90
64,brent_kung_tuned_m,kl_tellegen,9.66241e-16,9.66241e-16,1.02664e-16,1.68528e-16
64,brent_kung_tuned_m,kl_tellegen_xy,9.66241e-16,9.66241e-16,1.02664e-16,1.68528e-16
64,kl_basic,kl_inplace,0.0,0.0,0.0,0.0
64,kl_basic,kl_truncated_mul,5.55112e-17,5.55112e-17,1.1587e-17,2.498e-17
64,kl_basic,kl_packed_pq,5.55112e-17,5.55112e-17,1.1587e-17,2.498e-17
64,kl_basic,kl_threshold,5.55112e-17,5.55112e-17,1.1587e-17,2.498e-17
64,kl_basic,kl_tellegen,9.67976e-16,9.67976e-16,1.01832e-16,1.643e-16
64,kl_basic,kl_tellegen_xy,9.67976e-16,9.67976e-16,1.01832e-16,1.643e-16
64,kl_inplace,kl_truncated_mul,5.55112e-17,5.55112e-17,1.1587e-17,2.498e-17
64,kl_inplace,kl_packed_pq,5.55112e-17,5.55112e-17,1.1587e-17,2.498e-17
64,kl_inplace,kl_threshold,5.55112e-17,5.55112e-17,1.1587e-17,2.498e-17
64,kl_inplace,kl_tellegen,9.67976e-16,9.67976e-16,1.01832e-16,1.643e-16
64,kl_inplace,kl_tellegen_xy,9.67976e-16,9.67976e-16,1.01832e-16,1.643e-16
64,kl_truncated_mul,kl_packed_pq,0.0,0.0,0.0,0.0
64,kl_truncated_mul,kl_threshold,0.0,0.0,0.0,0.0
64,kl_truncated_mul,kl_tellegen,1.00094e-15,1.00094e-15,1.02054e-16,1.60722e-16
64,kl_truncated_mul,kl_tellegen_xy,1.00094e-15,1.00094e-15,1.02054e-16,1.60722e-16
64,kl_packed_pq,kl_threshold,0.0,0.0,0.0,0.0
64,kl_packed_pq,kl_tellegen,1.00094e-15,1.00094e-15,1.02054e-16,1.60722e-16
64,kl_packed_pq,kl_tellegen_xy,1.00094e-15,1.00094e-15,1.02054e-16,1.60722e-16
64,kl_threshold,kl_tellegen,1.00094e-15,1.00094e-15,1.02054e-16,1.60722e-16
64,kl_threshold,kl_tellegen_xy,1.00094e-15,1.00094e-15,1.02054e-16,1.60722e-16
64,kl_tellegen,kl_tellegen_xy,0.0,0.0,0.0,0.0
256,naive_horner,brent_kung_basic,8.32667e-17,8.32667e-17,1.76168e-17,3.46945e-17
256,naive_horner,brent_kung_opt,8.32667e-17,8.32667e-17,1.76168e-17,3.46945e-17
256,naive_horner,brent_kung_streaming,6.245e-17,6.245e-17,1.87019e-17,4.16334e-17
256,naive_horner,brent_kung_tuned_m,8.32667e-17,8.32667e-17,1.76168e-17,3.46945e-17
256,naive_horner,kl_basic,2.06432e-16,2.06432e-16,4.06853e-17,9.71445e-17
256,naive_horner,kl_inplace,2.06432e-16,2.06432e-16,4.06853e-17,9.71445e-17
256,naive_horner,kl_truncated_mul,1.59595e-16,1.59595e-16,4.13566e-17,9.02056e-17
256,naive_horner,kl_packed_pq,1.59595e-16,1.59595e-16,4.13566e-17,9.02056e-17
256,naive_horner,kl_threshold,1.59595e-16,1.59595e-16,4.13566e-17,9.02056e-17
256,naive_horner,kl_tellegen,3.73469e-14,3.73469e-14,1.51569e-15,2.75778e-15
256,naive_horner,kl_tellegen_xy,3.73469e-14,3.73469e-14,1.51569e-15,2.75778e-15
256,brent_kung_basic,brent_kung_opt,0.0,0.0,0.0,0.0
256,brent_kung_basic,brent_kung_streaming,6.93889e-17,6.93889e-17,1.72143e-17,3.46945e-17
256,brent_kung_basic,brent_kung_tuned_m,0.0,0.0,0.0,0.0
256,brent_kung_basic,kl_basic,1.80411e-16,1.80411e-16,4.06608e-17,8.32667e-17
256,brent_kung_basic,kl_inplace,1.80411e-16,1.80411e-16,4.06608e-17,8.32667e-17
256,brent_kung_basic,kl_truncated_mul,1.73472e-16,1.73472e-16,4.13395e-17,8.67362e-17
256,brent_kung_basic,kl_packed_pq,1.73472e-16,1.73472e-16,4.13395e-17,8.67362e-17
256,brent_kung_basic,kl_threshold,1.73472e-16,1.73472e-16,4.13395e-17,8.67362e-17
256,brent_kung_basic,kl_tellegen,3.73356e-14,3.73356e-14,1.51646e-15,2.72308e-15
256,brent_kung_basic,kl_tellegen_xy,3.73356e-14,3.73356e-14,1.51646e-15,2.72308e-15
256,brent_kung_opt,brent_kung_streaming,6.93889e-17,6.93889e-17,1.72143e-17,3.46945e-17
256,brent_kung_opt,brent_kung_tuned_m,0.0,0.0,0.0,0.0
256,brent_kung_opt,kl_basic,1.80411e-16,1.80411e-16,4.06608e-17,8.32667e-17
256,brent_kung_opt,kl_inplace,1.80411e-16,1.80411e-16,4.06608e-17,8.32667e-17
256,brent_kung_opt,kl_truncated_mul,1.73472e-16,1.73472e-16,4.13395e-17,8.67362e-17
256,brent_kung_opt,kl_packed_pq,1.73472e-16,1.73472e-16,4.13395e-17,8.67362e-17
256,brent_kung_opt,kl_threshold,1.73472e-16,1.73472e-16,4.13395e-17,8.67362e-17
256,brent_kung_opt,kl_tellegen,3.73356e-14,3.73356e-14,1.51646e-15,2.72308e-15
256,brent_kung_opt,kl_tellegen_xy,3.73356e-14,3.73356e-14,1.51646e-15,2.72308e-15
256,brent_kung_streaming,brent_kung_tuned_m,6.93889e-17,6.93889e-17,1.72143e-17,3.46945e-17
256,brent_kung_streaming,kl_basic,1.8735e-16,1.8735e-16,3.9992e-17,8.67362e-17
256,brent_kung_streaming,kl_inplace,1.8735e-16,1.8735e-16,3.9992e-17,8.67362e-17
256,brent_kung_streaming,kl_truncated_mul,1.7087e-16,1.7087e-16,3.97119e-17,8.32667e-17
256,brent_kung_streaming,kl_packed_pq,1.7087e-16,1.7087e-16,3.97119e-17,8.32667e-17
256,brent_kung_streaming,kl_threshold,1.7087e-16,1.7087e-16,3.97119e-17,8.32667e-17
256,brent_kung_streaming,kl_tellegen,3.73737e-14,3.73737e-14,1.51699e-15,2.73436e-15
256,brent_kung_streaming,kl_tellegen_xy,3.73737e-14,3.73737e-14,1.51699e-15,2.73436e-15
256,brent_kung_tuned_m,kl_basic,1.80411e-16,1.80411e-16,4.06608e-17,8.32667e-17
256,brent_kung_tuned_m,kl_inplace,1.80411e-16,1.80411e-16,4.06608e-17,8.32667e-17
256,brent_kung_tuned_m,kl_truncated_mul,1.73472e-16,1.73472e-16,4.13395e-17,8.67362e-17
256,brent_kung_tuned_m,kl_packed_pq,1.73472e-16,1.73472e-16,4.13395e-17,8.67362e-17
